Task;Difficulty;Comment
forwardBackward;2;
squareRoot;3;Hier erst str im Kopf gehabt, aber bei Frage direkt gepeilt durch sqrt
containsSubstring;4;
crossSum;1;kennt man als Student
prime;1;sollte man auch eher kennen
capitalizeFirstLetter;3;
validParentheses;3;etwas verwirrend anfangs durch return ausserhalb des for-Blocks
linearSearch;2;
commonChars;3;code durch die langen Buchstabensalate schwerer zu lesen
countIntegerInterval;2;
power;1;wiedererkennbar
leastCommonMultiple;1;
palindrome;2;
binarySearch;4;zu verwirrt durch u +- 1, kann aber sein, dass es durch die MÃ¼digkeit war
factorial;1;
countLetters;2;
bubbleSort;2;
unrolledSort;2;
binaryToDecimal;2;eher verwirrend anfangs bei der Frage und Antworten, aber erkennbar, was es tut
arrayAverage;2;